ENT,Entidad,MUN,Municipio,Alf,Asi,EBC,Der,Pis,San,Agu,Dre,Ele,Lav,Ref,Ing
30,Veracruz de Ignacio de la Llave,28,Boca del Río,0.972467983,0.967955356,0.720952865,0.72975707,0.992788966,0.995822735,0.993489067,0.998389769,0.99915988,0.839140277,0.950782946,15147.30833
30,Veracruz de Ignacio de la Llave,39,Coatzacoalcos,0.958850745,0.964846,0.686648055,0.831379312,0.99130251,0.992771466,0.973379128,0.99602642,0.995339498,0.804639366,0.916639366,19749.57073
30,Veracruz de Ignacio de la Llave,44,Córdoba,0.954882673,0.973440755,0.674127928,0.729777134,0.957526769,0.967343236,0.932499636,0.991139261,0.989875755,0.608637196,0.838190271,6565.558895
30,Veracruz de Ignacio de la Llave,87,Xalapa,0.966843483,0.974829881,0.725161445,0.735680122,0.982368608,0.98195941,0.990538203,0.995369606,0.996353116,0.714372887,0.888088042,19769.52337
30,Veracruz de Ignacio de la Llave,108,Minatitlán,0.950444042,0.975720659,0.633971171,0.837450903,0.93909985,0.970364098,0.751709764,0.977138019,0.980503268,0.739312621,0.879676068,20613.39431
30,Veracruz de Ignacio de la Llave,118,Orizaba,0.975092986,0.983825432,0.72974582,0.802359182,0.992889031,0.987301842,0.997594033,0.986259256,0.996792044,0.730157457,0.886037373,13131.53795
30,Veracruz de Ignacio de la Llave,131,Poza Rica de Hidalgo,0.96605977,0.976959196,0.705633582,0.75261188,0.948107127,0.977448933,0.898175216,0.984947798,0.993100318,0.808733545,0.928588289,11890.61952
30,Veracruz de Ignacio de la Llave,193,Veracruz,0.973981124,0.965897203,0.711236567,0.748780492,0.979904109,0.994923086,0.984948444,0.993028067,0.997317652,0.827824746,0.94740643,11112.56258
31,Yucatán,41,Kanasín,0.945864866,0.969695272,0.611582347,0.834065488,0.992102626,0.934175185,0.979514933,0.940108238,0.989897775,0.777831229,0.879294448,9469.736141
31,Yucatán,50,Mérida,0.972346342,0.987290114,0.743581923,0.829231025,0.995775463,0.973468508,0.987699142,0.973810199,0.995367764,0.818667174,0.946416715,17561.80911
